Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.125	0.000
0.126	0.098
0.126	0.000
0.126	0.098
0.126	-0.098
0.126	0.098
0.127	-0.098
0.127	0.098
0.128	0.000
0.129	0.098
0.129	0.000
0.130	0.098
0.130	0.000
0.130	0.098
0.130	0.000
0.130	0.098
0.130	0.000
0.130	0.098
0.130	0.000
0.131	0.098
0.131	0.000
0.131	0.098
0.132	-0.195
0.132	0.000
0.133	-0.098
0.133	0.098
0.134	0.000
0.134	0.098
0.134	0.000
0.134	0.098
0.134	0.000
0.134	0.000
0.134	0.000
0.134	0.000
0.134	0.000
0.135	0.098
0.135	0.000
0.135	0.098
0.135	0.000
0.135	0.000
0.136	0.000
0.136	0.098
0.136	0.000
0.137	0.000
0.137	0.000
0.138	0.098
0.138	0.000
0.138	0.000
0.138	0.000
0.138	0.098
0.138	0.000
0.139	0.000
0.139	0.000
0.140	0.000
0.140	0.000
0.140	0.098
0.140	0.000
0.140	0.000
0.140	-0.098
0.140	0.098
0.140	0.000
0.141	0.000
0.141	0.000
0.141	0.000
0.141	0.000
0.141	0.000
0.142	0.000
0.143	0.098
0.143	-0.098
0.143	0.098
0.143	-0.098
0.143	0.098
0.143	0.000
0.144	0.000
0.144	0.000
0.144	0.000
0.145	0.000
0.145	0.098
0.146	0.000
0.146	0.000
0.147	0.000
0.148	0.000
0.148	-0.098
0.148	0.098
0.149	0.000
0.149	0.000
0.150	0.000
0.151	0.000
0.151	0.000
0.151	0.000
0.152	0.000
0.152	0.000
0.153	0.000
0.154	0.000
0.155	0.000
0.156	0.000
0.156	0.000
0.157	0.000
0.157	0.000
0.158	0.000
0.159	0.000
0.160	0.000
0.160	0.000
0.161	0.000
0.162	-0.098
0.163	0.000
0.163	0.000
0.163	0.000
0.164	0.000
0.164	0.000
0.165	0.000
0.166	0.000
0.166	0.000
0.167	0.000
0.167	0.000
0.167	0.000
0.167	0.000
0.167	0.000
0.168	0.000
0.168	0.000
0.168	0.000
0.168	0.000
0.169	0.000
0.170	0.000
0.171	0.000
0.171	0.000
0.171	0.000
0.172	0.000
0.172	0.000
0.173	0.000
0.173	0.000
0.173	0.000
0.174	0.000
0.174	0.000
0.174	0.000
0.175	0.000
0.175	0.000
0.175	0.000
0.175	0.000
0.175	0.000
0.175	0.000
0.176	0.000
0.176	0.000
0.176	0.000
0.176	0.000
0.177	0.000
0.177	0.000
0.178	0.000
0.178	0.000
0.178	0.000
0.178	0.000
0.179	0.000
0.179	0.000
0.179	0.000
0.180	0.000
0.181	0.000
0.181	0.000
0.181	0.000
0.181	0.000
0.182	0.000
0.182	0.000
0.183	0.000
0.183	0.000
0.183	0.000
0.184	0.000
0.186	0.000
0.187	0.000
0.187	0.000
0.187	0.000
0.187	0.000
0.187	0.000
0.187	0.000
0.188	0.000
0.188	0.000
0.189	0.000
0.189	0.000
0.189	0.000
0.190	0.000
0.190	0.000
0.190	0.000
0.190	0.000
0.191	0.000
0.191	0.000
0.191	0.000
0.192	0.000
0.192	0.000
0.192	0.000
0.193	0.000
0.193	0.000
0.193	0.000
0.193	0.000
0.194	0.000
0.194	0.000
0.194	0.000
0.195	0.000
0.195	0.000
0.195	0.000
0.195	0.000
0.195	0.000
0.195	0.000
0.196	0.000
0.196	0.000
0.196	0.000
0.197	0.000
0.198	0.000
0.198	0.000
0.198	0.000
0.198	0.000
0.199	0.000
0.199	0.000
0.199	0.000
0.199	0.000
0.200	0.000
0.201	0.000
0.201	0.000
0.201	0.000
0.201	0.000
0.201	0.000
0.202	0.000
0.202	0.000
0.203	0.000
0.204	0.000
0.204	0.000
0.204	0.000
0.205	0.000
0.205	0.000
0.206	0.000
0.206	0.000
0.206	0.000
0.207	0.000
0.207	0.000
0.207	0.000
0.207	0.000
0.208	0.000
0.208	0.000
0.208	0.000
0.209	0.000
0.209	0.000
0.209	0.000
0.210	0.000
0.210	0.000
0.210	0.000
0.210	0.000
0.210	0.000
0.210	0.000
0.211	0.000
0.211	0.000
0.211	0.000
0.211	0.000
0.211	0.000
0.212	0.000
0.212	0.000
0.212	0.000
0.212	0.000
0.213	0.000
