Distance_(pixels),Gray_Value
454,97.3115
455,97.3956
456,97.6997
457,97.8866
458,97.9656
459,97.9417
460,97.8999
461,97.9393
462,98.1055
463,98.2397
464,98.3063
465,98.3309
466,98.5156
467,98.7691
468,99.2298
469,99.6873
470,100.0080
471,100.0339
472,99.8764
473,99.7602
474,99.9110
475,100.1324
476,100.2263
477,100.2948
478,100.3193
479,100.4897
480,100.6733
481,100.7931
482,100.8379
483,100.9265
484,100.8494
485,100.9441
486,101.0156
487,101.1345
488,101.2033
489,100.9880
490,100.7074
491,100.6537
492,100.6092
493,100.6622
494,100.6270
495,100.7406
496,100.8007
497,100.6943
498,100.5727
499,100.3840
500,100.2271
501,100.0676
502,99.9100
503,100.0433
504,100.3440
505,100.6560
506,100.8217
507,100.6988
508,100.4985
509,100.2186
510,100.0702
511,100.0034
512,100.3739
513,100.7641
514,100.7100
515,100.7944
516,100.7093
517,100.6888
518,100.8126
519,100.8889
520,101.1246
521,101.2782
522,101.3774
523,101.4395
524,101.5761
525,101.7722
526,102.1317
527,102.3231
528,102.2100
529,102.2294
530,102.5775
531,102.8799
532,102.9477
533,102.8899
534,102.8228
535,102.6848
536,103.0181
537,103.4884
538,103.8986
539,104.2748
540,104.5330
541,104.9938
542,105.3359
543,105.3783
544,105.4949
545,105.5798
546,105.9279
547,106.0498
548,106.2164
549,106.2052
550,106.2601
551,106.3472
552,106.4004
553,106.5472
554,106.6655
555,106.7769
556,106.9106
557,107.0056
558,107.1516
559,107.4424
560,107.5527
561,107.6905
562,107.9731
563,108.3124
564,108.5890
565,108.9258
566,108.9950
567,108.9452
568,108.8949
569,108.9694
570,109.0407
571,109.1233
572,109.1276
573,109.2348
574,109.3868
575,109.3371
576,109.1456
577,109.0293
578,108.8723
579,108.5469
580,108.2459
581,108.0706
582,108.1039
583,108.0778
584,107.8904
585,107.7076
586,107.6399
587,107.4642
588,107.2210
589,107.0405
590,106.9083
591,106.7883
592,106.7351
593,106.7077
594,106.8305
