Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.134	0.801
-0.134	0.781
-0.134	0.801
-0.134	0.781
-0.135	0.830
-0.136	0.840
-0.137	0.918
-0.139	0.918
-0.139	0.967
-0.140	0.957
-0.141	0.996
-0.141	0.967
-0.142	1.016
-0.142	1.016
-0.143	1.074
-0.143	1.055
-0.144	1.094
-0.144	1.055
-0.144	1.104
-0.144	1.094
-0.145	1.152
-0.145	1.113
-0.146	1.162
-0.148	1.182
-0.149	1.231
-0.150	1.221
-0.151	1.270
-0.152	1.221
-0.153	1.250
-0.154	1.240
-0.156	1.231
-0.157	1.182
-0.158	1.182
-0.160	1.074
-0.160	1.016
-0.161	0.957
-0.161	0.977
-0.162	0.938
-0.163	0.938
-0.163	0.898
-0.164	0.908
-0.164	0.859
-0.165	0.830
-0.165	0.772
-0.166	0.752
-0.167	0.693
-0.168	0.713
-0.169	0.664
-0.170	0.654
-0.170	0.605
-0.171	0.596
-0.171	0.527
-0.171	0.537
-0.171	0.479
-0.171	0.508
-0.172	0.469
-0.172	0.488
-0.172	0.439
-0.173	0.469
-0.173	0.420
-0.173	0.430
-0.174	0.371
-0.175	0.361
-0.176	0.283
-0.178	0.273
-0.178	0.225
-0.178	0.244
-0.178	0.234
-0.179	0.244
-0.179	0.205
-0.179	0.225
-0.179	0.195
-0.180	0.195
-0.181	0.156
-0.182	0.156
-0.184	0.117
-0.186	0.127
-0.188	0.098
-0.189	0.117
-0.189	0.078
-0.190	0.117
-0.191	0.068
-0.194	0.098
-0.196	0.059
-0.199	0.088
-0.201	0.049
-0.203	0.078
-0.203	0.059
-0.204	0.078
-0.205	0.049
-0.207	0.078
-0.209	0.049
-0.211	0.068
-0.212	0.039
-0.214	0.068
-0.216	0.039
-0.217	0.068
-0.218	0.039
-0.220	0.059
-0.221	0.039
-0.223	0.098
-0.225	0.098
-0.227	0.195
-0.230	0.186
-0.232	0.215
-0.234	0.166
-0.237	0.156
-0.239	0.068
-0.241	0.059
-0.242	0.029
-0.244	0.049
-0.246	0.010
-0.248	0.049
-0.250	0.020
-0.251	0.039
-0.251	0.010
-0.252	0.049
-0.252	0.010
-0.253	0.039
-0.254	0.020
-0.254	0.049
-0.254	0.010
-0.254	0.039
-0.255	0.010
-0.255	0.039
-0.255	0.010
-0.255	0.039
-0.256	0.010
-0.256	0.039
-0.256	0.010
-0.256	0.039
-0.257	0.020
-0.257	0.029
-0.258	0.010
-0.259	0.049
-0.259	0.010
-0.260	0.049
-0.261	0.020
